Category,Rating,Rating Count,Installs,Free,Price,Minimum Android,Content Rating,Ad Supported,In App Purchases,Editors Choice,Name Length,Size in MB,App Age,Last Update Age
Tools,4.0,455.0,105908.0,True,0.0,4,Everyone,True,False,False,19.0,2.3,3082.0,1914.0
Tools,4.7,11.0,1391.0,True,0.0,4,Everyone,False,False,False,28.0,30.0,1700.0,503.0
Music & Audio,4.7,107.0,1501.0,True,0.0,4,Everyone,False,False,False,11.0,9.0,616.0,616.0
Health & Fitness,2.7,113.0,15549.0,True,0.0,5,Everyone,False,False,False,9.0,21.0,2583.0,161.0
Educational,3.5,18.0,8727.0,True,0.0,4,Everyone,True,False,False,26.0,1.6,1527.0,874.0
Adventure,4.3,400.0,43263.0,True,0.0,2,Teen,True,False,False,19.0,19.0,1347.0,1279.0
Entertainment,3.5,296.0,199959.0,True,0.0,4,Everyone,True,False,False,28.0,7.5,1840.0,1029.0
Shopping,2.4,179.0,38145.0,True,0.0,5,Everyone,True,False,False,19.0,7.8,1976.0,29.0
Books & Reference,4.7,105.0,22344.0,True,0.0,1,Everyone,False,False,False,22.0,0.87109375,1984.0,1983.0
Education,1.7,6.0,150.0,True,0.0,4,Everyone,True,False,False,9.0,14.0,337.0,334.0
Communication,4.4,384.0,86478.0,True,0.0,2,Everyone,False,False,False,15.0,2.9,1608.0,1184.0
Lifestyle,4.5,12.0,156.0,True,0.0,4,Everyone,False,False,False,20.0,20.0,1226.0,1089.0
Photography,3.8,140.0,43808.0,True,0.0,3,Everyone,True,False,False,49.0,28.0,1322.0,1322.0
Shopping,3.4,29.0,1866.0,True,0.0,4,Everyone,False,False,False,7.0,7.9,1899.0,1587.0
Communication,4.4,5.0,1489.0,True,0.0,5,Everyone,False,False,False,19.0,50.0,1049.0,40.0
Adventure,4.6,11.0,52.0,True,0.0,5,Teen,True,False,False,12.0,105.0,365.0,153.0
Business,4.2,5.0,458.0,True,0.0,5,Everyone,False,False,False,11.0,5.2,592.0,454.0
Travel & Local,3.4,19.0,7277.0,True,0.0,5,Everyone,False,False,False,18.0,148.0,2244.0,101.0
Education,3.9,10.0,2388.0,True,0.0,3,Everyone,True,False,False,24.0,14.0,2437.0,2437.0
Travel & Local,4.3,9.0,1015.0,True,0.0,5,Everyone,False,False,False,9.0,9.9,365.0,5.0
Finance,5.0,7.0,15.0,True,0.0,4,Everyone,False,False,False,5.0,6.2,594.0,586.0
News & Magazines,3.8,35.0,5517.0,True,0.0,5,Everyone,False,True,False,14.0,14.0,3262.0,14.0
Productivity,3.3,7.0,1081.0,True,0.0,5,Everyone,False,False,False,39.0,8.7,336.0,336.0
Education,4.4,224.0,4986.0,True,0.0,4,Everyone,True,False,False,29.0,3.8,791.0,555.0
Trivia,4.5,19395.0,1969146.0,True,0.0,4,Everyone,True,False,False,27.0,15.0,784.0,198.0
Education,5.0,5.0,429.0,True,0.0,6,Everyone,False,False,False,7.0,63.0,780.0,511.0
Maps & Navigation,3.3,15.0,6215.0,True,0.0,4,Everyone,False,False,False,11.0,7.7,2225.0,161.0
Business,4.9,19.0,634.0,True,0.0,4,Everyone,False,False,False,31.0,9.4,953.0,258.0
Maps & Navigation,4.0,1434.0,271633.0,True,0.0,5,Everyone,False,False,False,14.0,49.0,2160.0,230.0
